province,cons_no,cons_code,ballot_no,candidate_name,party,resign
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,2,นางสาวเพ็ญพิสุทธิ์ จินตโสภณ,เพื่อไทย,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,3,นายอภิมุข ฉันทวานิช,ประชาธิปัตย์,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,4,นายปรีชา บุดดีจีน,ไทยสร้างไทย,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,5,นายนรุตม์ชัย บุนนาค,กล้าธรรม,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,6,นายชูชาติ ชาญเชิงศิลปกุล,เศรษฐกิจ,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,7,นายณัฐฏ์ รุ่งเรือง,วิชชั่นใหม่,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,8,นายธีระพงษ์ มงคลวัฒนลีลา,พลังประชารัฐ,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,9,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,10,นางสาวดวงกมล อดุลย์เศรณี,พลวัต,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,11,นายกันต์ณกฤต ยูนิพันธ์,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,12,นายสาโรช ต่อเทียนชัย,ภูมิใจไทย,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,13,นายกิตติพศ ถนอมวรารักษ์,รักชาติ,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,14,นางสาวปัณณรัตน์ พนิตสิรินันท์,โอกาสใหม่,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,1,นายพงศกร ขวัญเมือง,ประชาธิปัตย์,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,2,นายภัณฑิล น่วมเจิม,ประชาชน,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,3,นายชยพงศ์ สายฟ้า,ไทยก้าวใหม่,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,4,นางสาวบุณยกร ดำรงรัตน์,เพื่อไทย,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,5,นายเรืองไกร ลีกิจวัฒนะ,พลังประชารัฐ,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,6,นายเขตรัฐ เหล่าธรรมทัศน์,ภูมิใจไทย,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,7,นายอิทธิพัทธ์ โศภวัฒนาสิริ,ปวงชนไทย,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,8,นายรุจิระ อัคราพิริยพงศ์,ไทยสร้างไทย,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,9,ว่าที่ร้อยตรีหญิง ปภัสราวรรณ ม่วงไหม,กล้าธรรม,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,10,นายบุญเกียรติ วิศาลโกศล,เศรษฐกิจ,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,11,นายสรยุทธ ลิขิตอาภากุล,รักชาติ,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,12,นายสกลภัทร ประยูรรัตน์,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,13,นางสาวพรพิมล ฉิมสวัสดิ์,โอกาสใหม่,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,1,นายปฎิวัติ ตรองจิตต์,ไทยสร้างไทย,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,2,นางสาวบุณยนุช ปทิตหิรัณยา,พลังประชารัฐ,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,3,นายประสพ โกมลมาศ,ไทยก้าวใหม่,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,4,นายประเดิมชัย บุญช่วยเหลือ,ภูมิใจไทย,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,5,นายปณิธิ บวรวนิชยกูร,รักชาติ,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,6,นายปิติกรณ์ บรรณเภสัช,ประชาชน,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,7,นางสาวสุภกฤตา ธงไชย,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,8,นายทนัฏฐ์ ปานโสภณ,พลวัต,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,9,นายศุข ศักดิ์ณรงค์เดช,กล้าธรรม,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,10,นายถวิล รัตตะมณี,โอกาสใหม่,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,11,นายมานิตย์ ทองประชาญ,เศรษฐกิจ,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,12,นายนนธนัตถ์ บุนนาค,ประชาธิปัตย์,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,13,นายขจรศักดิ์ ประดิษฐาน,เพื่อไทย,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,14,นางสาวเฌอมินทร์ สถิตโอฬารโรจน์,ปวงชนไทย,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,15,นายณัฐสุรัช หงษ์วิจิตปรีชา,เพื่อบ้านเมือง,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,16,นายวศิน รัตตะรังสี,วิชชั่นใหม่,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,1,นายโชติพงศ์ สรรเสริญ,ไทยก้าวใหม่,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,2,นายณรงค์ชัย เมืองครอง,กล้าธรรม,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,3,นายชณทัต ปัทะมะภูวดล,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,4,นายสหัสวรรษ วีระมงคลกุล,เพื่อไทย,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,5,นางสาวศิริภา อินทวิเชียร,ประชาธิปัตย์,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,6,นายอิง อิงคตานุวัฒน์,ไทยภักดี,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,7,นายกัณตภณ ดวงอัมพร,ประชาชน,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,8,นายวรวิช กมลโชติรส,รักชาติ,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,9,พลตรี ดนัย ดิษาภิรมย์,ไทยสร้างไทย,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,10,นายกชพล จิตต์มั่นการ,พลวัต,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,11,นางสาวอรพินทร์ เพชรทัต,โอกาสใหม่,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,12,นายเจนวิทย์ สิริญาณสรณ์,ประชาธิปไตยใหม่,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,13,นายนรเสฏฐ์ เธียรประสิทธิ์,ภูมิใจไทย,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,14,นายอัศวิน อัศวินวิจิตร,เศรษฐกิจ,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,15,นายสมชาย คงศิริวงค์,ฟิวชัน,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,16,นางสาวจงชนก พัชรประภากร,ปวงชนไทย,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,1,นายพงศ์พล เตมีย์,ประชาธิปัตย์,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,2,นางกิติมา สิงห์ลา,พลวัต,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,3,นายพุฒิพงศ์ อินทรสุวรรณ,เพื่อไทย,
