province,prov_id,cons_no,zones,registered_voters,cons_turnout,cons_turnout_pct,cons_valid,cons_invalid,cons_blank,winner_name,winner_party,winner_votes,winner_pct,party_list_turnout,party_list_turnout_pct,party_list_valid,party_list_invalid,party_list_blank,top_party_list_party,top_party_list_votes,top_party_list_pct,ref_turnout,ref_turnout_pct,ref_valid,ref_invalid,ref_yes,ref_yes_pct,ref_no,ref_no_pct,ref_abstained
สมุทรสาคร,SKN,4,"อำเภอกระทุ่มแบน (ยกเว้นคลองมะเดื่อ แคราย สวนหลวง อ้อมน้อย ตลาดกระทุ่มแบน), อำเภอบ้านแพ้ว",112305,78492,69.89,72534,2462,3496,นายปัญญา ชวนบุญ,ภูมิใจไทย,40131,55.33,78491,69.89,71505,3938,3048,ประชาชน,26410,36.93,78282,69.7,76002,2280,45260,59.55,22157,29.15,8585
สมุทรสงคราม,SKM,1,"อำเภอเมืองสมุทรสงคราม, อำเภอบางคนที, อำเภออัมพวา",156265,107475,68.78,96695,4271,6509,นายอานุภาพ ลิขิตอำนวยชัย,ประชาชน,37509,38.79,106789,68.34,97039,4762,4988,ประชาชน,35461,36.54,105785,67.7,103054,2731,55977,54.32,35068,34.03,12009
เพชรบุรี,PBI,1,"อำเภอเมืองเพชรบุรี, อำเภอบ้านแหลม (ยกเว้นบ้านแหลม บางตะบูน บางตะบูนออก)",125505,91664,73.04,82833,3637,5194,นางธิวัลรัตน์ อังกินันทน์,ภูมิใจไทย,58584,70.73,91842,73.18,83337,4527,3978,ภูมิใจไทย,27432,32.92,91841,73.18,89017,2824,44036,49.47,35296,39.65,9685
เพชรบุรี,PBI,2,"อำเภอชะอำ, อำเภอท่ายาง",139326,97843,70.23,88789,4380,4674,นายฤกษ์ อยู่ดี,ภูมิใจไทย,63365,71.37,97439,69.94,88381,5333,3725,ภูมิใจไทย,31659,35.82,97010,69.63,93504,3506,47972,51.3,34351,36.74,11181
เพชรบุรี,PBI,3,"อำเภอเขาย้อย, อำเภอหนองหญ้าปล้อง, อำเภอบ้านลาด, อำเภอบ้านแหลม (เฉพาะบ้านแหลม บางตะบูน บางตะบูนออก), อำเภอแก่งกระจาน",131557,96326,73.22,88653,3580,4093,จ่าอากาศเอกอภิชาติ แก้วโกศล,ภูมิใจไทย,67129,75.72,96040,73.0,86582,5482,3976,ภูมิใจไทย,24542,28.35,95958,72.94,92904,3054,46000,49.51,35700,38.43,11204
ประจวบคีรีขันธ์,PKN,1,"อำเภอเมืองประจวบคีรีขันธ์ (ยกเว้นห้วยทราย), อำเภอกุยบุรี, อำเภอปราณบุรี (เฉพาะปากน้ำปราณ), อำเภอสามร้อยยอด",152840,107354,70.24,102079,3127,2148,นายสังคม แดงโชติ,ภูมิใจไทย,47612,46.64,107597,70.4,98019,6600,2978,ประชาชน,23963,24.45,108207,70.8,104858,3349,53012,50.56,40173,38.31,11673
ประจวบคีรีขันธ์,PKN,2,"อำเภอปราณบุรี (ยกเว้นปากน้ำปราณ), อำเภอหัวหิน",146369,98341,67.19,91568,2591,4182,นายจักพันธ์ ปิยพรไพบูลย์,กล้าธรรม,41386,45.2,98588,67.36,90948,4368,3272,ประชาชน,29936,32.92,95944,65.55,93478,2466,52645,56.32,31413,33.6,9420
ประจวบคีรีขันธ์,PKN,3,"อำเภอเมืองประจวบคีรีขันธ์ (เฉพาะห้วยทราย), อำเภอทับสะแก, อำเภอบางสะพาน, อำเภอบางสะพานน้อย",138975,93201,67.06,88822,2411,1968,นายพงษ์พันธ์ เผ่าประทาน,ภูมิใจไทย,31101,35.01,93262,67.11,86747,4621,1894,ประชาธิปัตย์,28753,33.15,93632,67.37,91240,2392,40466,44.35,41384,45.36,9390
นครศรีธรรมราช,NST,1,อำเภอเมืองนครศรีธรรมราช (ยกเว้นกำแพงเซา ไชยมนตรี มะม่วงสองต้น บางจาก ท่าเรือ ปากพูน),132977,94153,70.8,86467,2897,4789,นายทรงศักดิ์ มุสิกอง,ประชาธิปัตย์,37124,42.93,94153,70.8,88823,3015,2315,ประชาธิปัตย์,38863,43.75,88477,66.54,86219,2258,35343,40.99,44076,51.12,6800
นครศรีธรรมราช,NST,2,"อำเภอเมืองนครศรีธรรมราช (เฉพาะท่าไร่ กำแพงเซา ไชยมนตรี มะม่วงสองต้น บางจาก ท่าเรือ), อำเภอปากพนัง (ยกเว้นหูล่อง บางศาลา บางตะพง บ้านเพิง ท่าพยา ปากแพรก ขนาบนาก), อำเภอพระพรหม",141830,89774,63.3,82018,2663,5093,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,42139,51.38,89719,63.26,84211,3387,2121,ประชาธิปัตย์,50613,60.1,89103,62.82,86670,2433,30784,35.52,47702,55.04,8184
