province,prov_id,cons_id,cons_no,zones,registered_voters,ref_turnout,ref_turnout_pct,ref_valid,ref_valid_pct,ref_invalid,ref_invalid_pct,yes_votes,yes_pct,no_votes,no_pct,abstained,abstained_pct,counted_stations,count_pct
กรุงเทพมหานคร,BKK,BKK_25,25,"เขตราษฎร์บูรณะ (ยกเว้นบางปะกอก), เขตทุ่งครุ",126847,82832,65.3,81641,98.56,1191,1.44,54091,66.25,23053,28.24,4497,5.51,163,94.77
กรุงเทพมหานคร,BKK,BKK_26,26,"เขตบางขุนเทียน (ยกเว้นแสมดำ), เขตจอมทอง (ยกเว้นบางขุนเทียน)",139473,93037,66.71,91743,98.61,1294,1.39,62548,68.18,24029,26.19,5166,5.63,195,94.66
กรุงเทพมหานคร,BKK,BKK_27,27,"เขตบางขุนเทียน (ยกเว้นท่าข้าม), เขตบางบอน (ยกเว้นบางบอนเหนือ คลองบางพราน)",134519,96402,71.66,95035,98.58,1367,1.42,66490,69.96,23258,24.47,5287,5.56,165,94.83
กรุงเทพมหานคร,BKK,BKK_28,28,"เขตหนองแขม (ยกเว้นหนองค้างพลู), เขตจอมทอง (เฉพาะบางขุนเทียน), เขตบางบอน (ยกเว้นบางบอนใต้ คลองบางบอน)",139847,76858,54.96,75797,98.62,1061,1.38,51668,68.17,19770,26.08,4359,5.75,148,78.31
กรุงเทพมหานคร,BKK,BKK_29,29,"เขตหนองแขม (ยกเว้นหนองแขม), เขตบางแค (ยกเว้นบางแค หลักสอง)",144498,96344,66.67,94979,98.58,1365,1.42,63017,66.35,26601,28.01,5361,5.64,187,94.92
กรุงเทพมหานคร,BKK,BKK_30,30,"เขตภาษีเจริญ (เฉพาะบางหว้า บางด้วน คลองขวาง), เขตบางแค (ยกเว้นบางแคเหนือ บางไผ่)",143904,108387,75.32,107008,98.73,1379,1.27,75340,70.41,26378,24.65,5290,4.94,182,94.79
กรุงเทพมหานคร,BKK,BKK_31,31,"เขตตลิ่งชัน (ยกเว้นบางเชือกหนัง), เขตทวีวัฒนา",143811,107883,75.02,106492,98.71,1391,1.29,69319,65.09,31388,29.47,5785,5.43,227,94.98
กรุงเทพมหานคร,BKK,BKK_32,32,"เขตธนบุรี (เฉพาะวัดกัลยาณ์ หิรัญรูจี บางยี่เรือ), เขตบางกอกใหญ่, เขตตลิ่งชัน (เฉพาะบางเชือกหนัง), เขตบางกอกน้อย (เฉพาะศิริราช), เขตภาษีเจริญ (ยกเว้นบางหว้า บางด้วน คลองขวาง)",139079,88691,63.77,87376,98.52,1315,1.48,56695,64.89,25673,29.38,5008,5.73,214,94.69
กรุงเทพมหานคร,BKK,BKK_33,33,"เขตบางกอกน้อย (ยกเว้นศิริราช), เขตบางพลัด",148223,108013,72.87,106875,98.95,1138,1.05,73455,68.73,28829,26.97,4591,4.3,203,89.43
สมุทรปราการ,SPK,SPK_1,1,อำเภอเมืองสมุทรปราการ (เฉพาะบางโปรง บางด้วน บางเมือง ท้ายบ้าน ปากน้ำ),130808,88843,67.92,87289,98.25,1554,1.75,57917,66.35,23198,26.58,6174,7.07,195,94.66
สมุทรปราการ,SPK,SPK_2,2,อำเภอเมืองสมุทรปราการ (เฉพาะแพรกษา บางปูใหม่ บางปู ท้ายบ้านใหม่),129020,93424,72.41,91646,98.1,1778,1.9,63993,69.83,20808,22.7,6845,7.47,189,94.97
สมุทรปราการ,SPK,SPK_3,3,อำเภอเมืองสมุทรปราการ (เฉพาะเทพารักษ์ บางเมืองใหม่ สำโรงเหนือ),141171,92139,65.27,90919,98.68,1220,1.32,61562,67.71,23962,26.36,5395,5.93,198,94.74
